a 啊嗄锕阿
zhan 占展崭战搌斩旃栈毡沾湛盏瞻站粘绽蘸詹谵
zhang 丈仉仗嫜嶂帐幛张彰掌杖樟涨漳獐璋瘴章胀蟑账鄣长障
zhao 兆召啁找招昭棹沼照爪笊罩肇诏赵钊
zhe 哲折摺柘浙着磔者蔗蛰蜇褶谪赭辄辙这遮锗鹧
zhen 侦圳帧振斟朕枕桢榛浈珍甄畛疹真砧祯稹箴缜胗臻蓁诊贞赈轸针镇阵震鸩
zheng 争峥征徵怔拯挣政整正狰症睁筝蒸证诤郑钲铮
zhi 之侄值制卮只吱咫址埴夂峙帙帜彘志忮执指挚掷摭支旨智枝枳栀栉桎植止殖汁治滞炙痔痣直知祉祗秩稚窒絷纸织置职肢胝脂膣至致芝芷蛭蜘觯豸质贽趾跖踬踯轵轾郅酯陟雉骘鸷黹
zhong 中仲众冢忠盅种终肿舯螽衷踵重钟锺
zhou 周咒妯宙州帚昼洲皱籀粥纣绉肘胄舟荮诌轴酎骤
zhu 丶主伫住侏助嘱拄朱杼柱株槠橥注洙渚潴炷烛煮猪珠疰瘃瞩祝竹竺筑箸翥舳苎茱著蛀蛛诛诸贮躅逐邾铢铸驻麈
zhua 抓
zhuai 拽
zhuan 专啭撰砖篆赚转颛馔
zhuang 壮妆庄撞桩状装
zhui 坠惴缀缒赘追锥隹骓
zhun 准窀肫谆
zhuo 倬卓啄拙捉擢斫桌浊浞涿濯灼禚茁诼酌镯
zi 兹咨姊姿子字孜孳嵫恣梓淄渍滋滓眦秭笫籽粢紫缁耔自觜訾谘赀资趑辎锱髭鲻龇
zong 偬宗总棕粽纵综腙踪鬃
zou 奏揍楱诹走邹鄹陬驺鲰
zu 俎卒族祖租组诅足镞阻
zuan 攥纂缵躜钻
zui 嘴最罪蕞醉
zun 尊撙樽遵鳟
zuo 佐作做唑坐左座怍昨琢祚胙阼
